"MONTH","BOROUGH","COMMUNITYDISTRICT","REFUSETONSCOLLECTED","PAPERTONSCOLLECTED","MGPTONSCOLLECTED","RESORGANICSTONS","SCHOOLORGANICTONS","LEAVESORGANICTONS","XMASTREETONS","OTHERORGANICSTONS","BOROUGH_ID"
"2022 / 01","Bronx","01","2992.7","214.5","135.6",,,,"6.8",,"2"
"2022 / 01","Bronx","02","7412.7","217.1","207.1",,,"14.0","9.8",,"2"
"2022 / 01","Bronx","03","1984.9","122.1","155.3",,,,"4.2",,"2"
"2022 / 01","Bronx","04","3688.2","275.0","341.8",,,,"12.4",,"2"
"2022 / 01","Bronx","05","3166.8","223.1","330.2",,,,"7.6",,"2"
"2022 / 01","Bronx","06","3039.1","208.7","207.5",,"52.7",,"9.2",,"2"
"2022 / 01","Bronx","07","3506.5","308.0","479.4",,,,"11.7",,"2"
"2022 / 01","Bronx","08","2179.8","301.6","348.1","14.3",,,"7.2",,"2"
"2022 / 01","Bronx","09","3409.6","227.5","343.6",,,,"9.8",,"2"
"2022 / 01","Bronx","10","2248.7","289.4","339.7",,,,"9.8",,"2"
"2022 / 01","Bronx","11","2936.3","300.8","328.7",,,,"8.6",,"2"
"2022 / 01","Bronx","12","3518.7","334.0","527.2",,,,"5.4",,"2"
"2022 / 01","Brooklyn","01","5395.0","714.3","482.0","17.8",,,"28.5",,"3"
"2022 / 01","Brooklyn","02","2352.0","519.6","406.8","28.7","36.3",,"40.1",,"3"
"2022 / 01","Brooklyn","03","4043.3","441.4","362.5",,,,"14.1",,"3"
"2022 / 01","Brooklyn","04","4158.7","360.9","367.2",,,,"6.4",,"3"
"2022 / 01","Brooklyn","05","4368.7","258.7","407.0",,,,"2.1",,"3"
"2022 / 01","Brooklyn","06","2052.2","526.9","403.7","72.0","46.8",,"33.4",,"3"
"2022 / 01","Brooklyn","07","2966.2","376.1","367.8","28.1",,,"15.2",,"3"
"2022 / 01","Brooklyn","08","5409.3","331.9","294.8",,"27.3","1.0","13.1",,"3"
"2022 / 01","Brooklyn","09","2830.6","274.0","244.2",,,,"6.0",,"3"
"2022 / 01","Brooklyn","10","3272.8","442.3","437.4",,,,"25.9",,"3"
"2022 / 01","Brooklyn","11","7184.5","553.0","506.7",,"81.5","18.2","11.8","4.4","3"
"2022 / 01","Brooklyn","12","6016.3","636.0","359.9",,"49.1",,"3.6",,"3"
"2022 / 01","Brooklyn","13","2437.7","278.9","196.9",,,,"3.3",,"3"
"2022 / 01","Brooklyn","14","4265.6","447.9","403.1",,,,"9.1",,"3"
"2022 / 01","Brooklyn","15","4082.5","518.0","471.6",,"24.9",,"5.9",,"3"
"2022 / 01","Brooklyn","16","2730.4","132.1","155.3",,,,"6.7",,"3"
"2022 / 01","Brooklyn","17","3864.3","287.2","409.2",,,,"4.1",,"3"
"2022 / 01","Brooklyn","18","4680.5","493.3","565.4",,,,"8.7",,"3"
"2022 / 01","Manhattan","01","1389.2","347.1","219.1",,,,"32.8",,"1"
"2022 / 01","Manhattan","02","1980.8","424.4","294.9",,"27.4",,"26.3",,"1"
"2022 / 01","Manhattan","03","5353.7","431.2","337.6",,"37.7",,"11.1","21.0","1"
"2022 / 01","Manhattan","04","3069.1","588.9","321.3",,,"3.6","23.0",,"1"
"2022 / 01","Manhattan","05","1374.3","241.3","172.4",,,,"17.4",,"1"
"2022 / 01","Manhattan","06","2946.9","699.6","348.9","5.7",,,"28.6",,"1"
"2022 / 01","Manhattan","07","4377.6","960.2","694.3","24.9","35.5",,"42.8",,"1"
"2022 / 01","Manhattan","08","4932.9","980.5","705.4",,,,"89.2",,"1"
"2022 / 01","Manhattan","09","2123.2","249.4","247.0",,"50.3",,"15.9",,"1"
"2022 / 01","Manhattan","10","5922.6","255.9","255.2",,"35.4","6.0","10.8","9.2","1"
"2022 / 01","Manhattan","11","2239.7","201.2","175.5",,,,"9.8",,"1"
"2022 / 01","Manhattan","12","4415.6","422.2","463.3",,"49.1",,"15.1",,"1"
"2022 / 01","Queens","01","3809.2","639.9","615.3",,,,"23.4",,"4"
"2022 / 01","Queens","02","3689.3","560.3","436.2",,"79.1",,"15.2",,"4"
"2022 / 01","Queens","03","4278.6","354.8","485.1",,,,"22.0",,"4"
"2022 / 01","Queens","04","3786.2","310.7","513.8",,,,"33.0",,"4"
"2022 / 01","Queens","05","4319.9","584.3","661.6",,"47.2",,"40.0",,"4"
"2022 / 01","Queens","06","2444.6","370.3","366.5",,,,"13.6",,"4"
"2022 / 01","Queens","07","7993.2","929.1","729.5",,,,"36.9",,"4"
"2022 / 01","Queens","08","3323.9","420.1","371.0",,,,"7.2",,"4"
"2022 / 01","Queens","09","3636.4","433.9","513.1",,"59.4",,"27.0",,"4"
"2022 / 01","Queens","10","3189.5","335.0","482.8",,,,"11.3",,"4"
"2022 / 01","Queens","11","2531.9","452.1","414.8",,"63.7",,"42.0",,"4"
"2022 / 01","Queens","12","5826.9","471.0","789.0",,,,"10.1",,"4"
"2022 / 01","Queens","13","4239.9","423.9","747.9",,,,"10.0",,"4"
"2022 / 01","Queens","14","3135.0","265.7","227.2",,,,"13.5",,"4"
"2022 / 01","Staten Island","01","4958.5","675.0","644.6",,,,"21.7",,"5"
"2022 / 01","Staten Island","02","4538.3","510.0","501.8",,"16.4","18.1","14.3","4.8","5"
"2022 / 01","Staten Island","03","5138.2","701.3","622.6",,"14.7",,"20.9",,"5"
"2022 / 02","Bronx","01","3125.8","209.0","132.6",,,,,,"2"
"2022 / 02","Bronx","02","7236.4","262.7","215.9",,,"1.0",,,"2"
"2022 / 02","Bronx","03","2040.3","114.7","142.0",,,,,,"2"
"2022 / 02","Bronx","04","3743.9","273.9","316.9",,,,,,"2"
"2022 / 02","Bronx","05","3223.1","231.4","310.9",,,,,,"2"
"2022 / 02","Bronx","06","3062.3","192.2","190.4",,"44.9",,,,"2"
"2022 / 02","Bronx","07","3480.1","282.0","441.9",,,,,,"2"
"2022 / 02","Bronx","08","2146.7","281.0","345.0","16.0",,,,,"2"
"2022 / 02","Bronx","09","3421.6","231.7","343.5",,,,,,"2"
"2022 / 02","Bronx","10","2390.8","295.2","347.0",,,,,,"2"
"2022 / 02","Bronx","11","2868.1","298.8","325.1",,,,,,"2"
"2022 / 02","Bronx","12","3522.2","352.9","518.4",,,,,,"2"
"2022 / 02","Brooklyn","01","5656.5","734.6","469.2","20.4",,,,,"3"
"2022 / 02","Brooklyn","02","2453.1","506.0","403.8","35.1","40.0",,,,"3"
"2022 / 02","Brooklyn","03","4250.0","436.8","364.5",,,,,,"3"
"2022 / 02","Brooklyn","04","4183.2","342.2","362.3",,,,,,"3"
"2022 / 02","Brooklyn","05","4599.8","245.1","375.2",,,,,,"3"
"2022 / 02","Brooklyn","06","2115.1","538.5","410.8","69.3","51.8",,,,"3"
"2022 / 02","Brooklyn","07","3201.1","378.8","360.0","31.6",,,,,"3"
"2022 / 02","Brooklyn","08","5452.1","317.7","272.0",,"30.7",,,,"3"
"2022 / 02","Brooklyn","09","2918.3","298.0","259.0",,,,,,"3"
"2022 / 02","Brooklyn","10","3556.9","431.8","434.3",,,,,,"3"
"2022 / 02","Brooklyn","11","7623.8","559.9","527.9",,"64.9",,,"9.6","3"
"2022 / 02","Brooklyn","12","6631.3","713.9","375.7",,"34.3",,,,"3"
"2022 / 02","Brooklyn","13","2509.4","268.2","223.7",,,,,,"3"
"2022 / 02","Brooklyn","14","4637.0","448.5","399.2",,,,,,"3"
"2022 / 02","Brooklyn","15","4490.6","541.2","484.4",,"22.8",,,,"3"
"2022 / 02","Brooklyn","16","2826.1","136.2","155.2",,,,,,"3"
"2022 / 02","Brooklyn","17","4048.8","273.3","398.1",,,,,,"3"
"2022 / 02","Brooklyn","18","4969.7","508.9","565.6",,,,,,"3"
"2022 / 02","Manhattan","01","1421.6","365.3","266.3",,,,,,"1"
"2022 / 02","Manhattan","02","2055.2","411.7","298.7",,"28.9",,,,"1"
"2022 / 02","Manhattan","03","5467.3","482.4","350.6",,"49.6",,,"26.8","1"
"2022 / 02","Manhattan","04","3212.0","657.1","403.4",,,,,,"1"
"2022 / 02","Manhattan","05","1400.7","262.3","171.7",,,,,,"1"
"2022 / 02","Manhattan","06","2986.8","773.9","419.9","5.3",,,,,"1"
"2022 / 02","Manhattan","07","4424.5","965.6","749.7","32.4","34.3",,,,"1"
"2022 / 02","Manhattan","08","5173.8","1038.3","780.6",,,,,,"1"
"2022 / 02","Manhattan","09","2113.8","275.5","269.1",,"40.2",,,,"1"
"2022 / 02","Manhattan","10","5754.3","271.0","246.2",,"34.5",,,,"1"
"2022 / 02","Manhattan","11","2259.5","202.1","171.7",,,,,,"1"
"2022 / 02","Manhattan","12","4613.2","416.9","456.5",,"39.7",,,,"1"
"2022 / 02","Queens","01","3918.8","584.2","575.0",,,,,,"4"
"2022 / 02","Queens","02","3745.7","549.5","430.5",,"63.7",,,,"4"
"2022 / 02","Queens","03","4549.9","343.2","471.7",,,,,,"4"
"2022 / 02","Queens","04","3869.8","310.8","510.5",,,,,,"4"
"2022 / 02","Queens","05","4508.8","560.9","656.1",,"47.6",,,,"4"
"2022 / 02","Queens","06","2531.7","355.4","355.6",,,,,,"4"
"2022 / 02","Queens","07","7967.6","893.0","708.4",,,,,,"4"
"2022 / 02","Queens","08","3518.8","426.6","370.8",,,,,,"4"
"2022 / 02","Queens","09","3642.8","424.0","484.9",,"64.3",,,,"4"
"2022 / 02","Queens","10","3377.7","314.6","457.8",,,,,,"4"
"2022 / 02","Queens","11","2545.0","408.7","381.4",,"58.4",,,,"4"
"2022 / 02","Queens","12","6029.6","473.3","791.0",,,,,,"4"
"2022 / 02","Queens","13","4380.6","395.9","734.1",,,,,,"4"
"2022 / 02","Queens","14","3239.9","247.4","217.0",,,,,,"4"
"2022 / 02","Staten Island","01","5119.9","645.2","628.7",,,,,,"5"
"2022 / 02","Staten Island","02","4602.6","492.4","493.5",,"21.4","17.3",,"8.6","5"
"2022 / 02","Staten Island","03","5338.1","692.8","637.6",,"17.4",,,,"5"
"2022 / 03","Bronx","01","3474.4","221.9","141.2",,,,,,"2"
"2022 / 03","Bronx","02","8226.1","246.8","232.6",,,,,,"2"
"2022 / 03","Bronx","03","2186.1","151.4","178.2",,,,,,"2"
"2022 / 03","Bronx","04","4107.0","310.1","358.7",,,,,,"2"
"2022 / 03","Bronx","05","3335.5","212.8","321.6",,,,,,"2"
"2022 / 03","Bronx","06","3492.3","251.1","246.9",,"92.2",,,,"2"
"2022 / 03","Bronx","07","3822.1","305.0","515.5",,,,,,"2"
"2022 / 03","Bronx","08","2287.0","309.0","364.5","27.4",,,,,"2"
"2022 / 03","Bronx","09","3767.3","237.9","369.9",,,,,,"2"
"2022 / 03","Bronx","10","2607.0","287.6","343.3",,,,,,"2"
"2022 / 03","Bronx","11","3244.7","304.4","348.3",,,,,,"2"
"2022 / 03","Bronx","12","3943.0","351.8","564.1",,,,,,"2"
"2022 / 03","Brooklyn","01","6455.3","735.5","530.2","21.9",,,,,"3"
"2022 / 03","Brooklyn","02","2673.2","530.2","412.6","43.4","35.7",,,,"3"
"2022 / 03","Brooklyn","03","4565.7","523.3","407.1",,,,,,"3"
"2022 / 03","Brooklyn","04","4581.5","353.1","376.5",,,,,,"3"
"2022 / 03","Brooklyn","05","5061.9","265.8","477.0",,,,,,"3"
"2022 / 03","Brooklyn","06","2224.5","549.2","408.5","97.1","63.9",,,,"3"
"2022 / 03","Brooklyn","07","3402.6","387.2","378.5","39.2",,,,,"3"
"2022 / 03","Brooklyn","08","5998.2","344.2","307.1",,"37.2",,,,"3"
"2022 / 03","Brooklyn","09","3158.7","325.8","269.2",,,,,,"3"
"2022 / 03","Brooklyn","10","3704.1","433.4","456.1",,,,,,"3"
"2022 / 03","Brooklyn","11","8193.6","571.8","528.6",,"104.9",,,"7.3","3"
"2022 / 03","Brooklyn","12","7452.0","735.6","429.5",,"109.6",,,,"3"
"2022 / 03","Brooklyn","13","2751.8","285.7","232.5",,,,,,"3"
"2022 / 03","Brooklyn","14","4976.4","465.4","412.7",,,,,,"3"
"2022 / 03","Brooklyn","15","4812.1","558.6","507.1",,"27.5",,,,"3"
"2022 / 03","Brooklyn","16","3152.9","148.9","171.5",,,,,,"3"
"2022 / 03","Brooklyn","17","4285.7","301.1","431.1",,,,,,"3"
"2022 / 03","Brooklyn","18","5521.3","527.9","604.4",,,,,,"3"
"2022 / 03","Manhattan","01","1559.7","359.6","234.1",,,,,,"1"
"2022 / 03","Manhattan","02","2143.4","456.1","319.6",,"28.3",,,,"1"
"2022 / 03","Manhattan","03","6030.1","511.8","373.3",,"40.1",,,"25.9","1"
