month,borough,communitydistrict,high_refuse_flag,refuse_lag1,refuse_lag12,paper_lag1,mgp_lag1,refuse_per_capita_2010
2022-01,Bronx,1,0,2992.7,3518.18125,214.5,135.6,0.03270817622435708
2022-02,Bronx,1,1,2992.7,3166.3916666666664,214.5,135.6,0.03416286872793644
2022-03,Bronx,1,1,3125.8,3606.6229166666667,209.0,132.6,0.03797282971026372
2022-04,Bronx,1,0,3474.4,3522.277083333333,221.9,141.2,0.03479349049695618
2022-05,Bronx,1,0,3183.5,3792.5479166666664,229.4,133.4,0.035520290282741514
2022-06,Bronx,1,0,3250.0,3732.6062500000003,237.1,141.1,0.03792364776987224
2022-07,Bronx,1,0,3469.9,3750.3312499999997,282.4,143.2,0.032419642174060355
2022-08,Bronx,1,0,2966.3,3706.53125,227.1,140.9,0.0334808791545078
2022-09,Bronx,1,0,3063.4,3635.3375,223.6,154.7,0.03546892247833262
2022-10,Bronx,1,0,3245.3,3697.9395833333333,268.3,144.1,0.035261265396679675
2022-11,Bronx,1,1,3226.3,3676.0611111111116,239.7,139.0,0.0360000874345607
2022-12,Bronx,1,0,3293.9,3717.6611111111106,230.4,144.9,0.035497338710558816
2023-01,Bronx,1,0,3247.9,2992.7,231.5,128.9,0.035156343923844494
2023-02,Bronx,1,0,3216.7,3125.8,245.0,156.8,0.029816278129337574
2023-03,Bronx,1,0,2728.1,3474.4,179.4,126.7,0.0342874629769282
2023-04,Bronx,1,0,3137.2,3183.5,234.4,135.3,0.030650185251975475
2023-05,Bronx,1,0,2804.4,3250.0,205.6,130.2,0.036009923822639
2023-06,Bronx,1,0,3294.8,3469.9,253.3,151.6,0.03614544739171776
2023-07,Bronx,1,0,3307.2,2966.3,283.5,150.2,0.033474321562455604
2023-08,Bronx,1,0,3062.8,3063.4,241.0,145.0,0.03380766582510902
2023-09,Bronx,1,0,3093.3,3245.3,224.5,151.7,0.03585254161338623
2023-10,Bronx,1,0,3280.4,3226.3,260.3,140.4,0.03662852333956305
2023-11,Bronx,1,0,3351.4,3293.9,241.2,146.0,0.03585254161338623
2023-12,Bronx,1,0,3280.4,3247.9,206.2,123.1,0.035882050777621126
2024-01,Bronx,1,1,3283.1,3216.7,241.1,132.9,0.03647332699432768
2024-02,Bronx,1,0,3337.2,2728.1,235.9,148.7,0.03134419707749981
2024-03,Bronx,1,0,2867.9,3137.2,191.3,113.0,0.03542520519798464
2024-04,Bronx,1,0,3241.3,2804.4,212.3,126.5,0.03485360175743467
2024-05,Bronx,1,1,3189.0,3294.8,219.7,146.1,0.037852607189306754
2024-06,Bronx,1,0,3463.4,3307.2,209.0,126.4,0.03632031651310972
2024-07,Bronx,1,1,3323.2,3062.8,222.7,127.3,0.03627113457271823
2024-08,Bronx,1,1,3318.7,3093.3,249.6,160.3,0.035704995792211765
2024-09,Bronx,1,0,3266.9,3280.4,245.4,135.1,0.0359946227745172
2024-10,Bronx,1,1,3293.4,3351.4,252.8,131.5,0.03714110845164322
2024-11,Bronx,1,0,3398.3,3280.4,228.9,134.0,0.03552138321475021
2024-12,Bronx,1,1,3250.1,3283.1,225.9,127.1,0.03780014645288916
2025-01,Bronx,1,0,3458.6,3337.2,287.3,161.2,0.03499131119053084
2025-02,Bronx,1,0,3201.6,2867.9,234.7,128.1,0.0313944719499
2025-03,Bronx,1,0,2872.5,3241.3,207.8,118.2,0.036600107107336854
2025-04,Bronx,1,1,3348.8,3189.0,245.7,133.4,0.035331213045236454
2025-05,Bronx,1,0,3232.7,3463.4,236.7,147.0,0.03752363465468814
2025-06,Bronx,1,1,3433.3,3323.2,252.9,137.4,0.03830617397291715
2025-07,Bronx,1,0,3504.9,3318.7,248.8,139.4,0.03568095128802037
